#ï¸âƒ£,Book Title ğŸ“–,Author âœï¸,Genre ğŸ­,Subgenre ğŸ”,Year ğŸ“…,Series ğŸ“š,Pages ğŸ“„,Language ğŸŒ,ISBN ğŸ†”,Status âœ…/ğŸ”–,Location ğŸ“,Binding ğŸ“’,Notes ğŸ—’ï¸
1,A Dictionary of Angels,,,,,,,English,,âœ… Read,House Hallway,,
2,Understanding the Old Testament,,,,,,,English,,,House Hallway,,
3,Moving Beyond Covid-19 Lies,"Ardis, Bryan",,,,,,English,,,House Hallway,,
4,The Unknown Life of Jesus Christ,,,,,,,English,,,House Hallway,,
5,The Passion Translation: Ezekiel & Daniel,,,,,,,English,,,House Hallway,,
6,God's Creative Power,,,,,,,English,,,House Hallway,,
7,The Bible Through the Centuries,,,,,,,English,,,House Hallway,,
8,The Bible Reader,,,,,,,English,,,House Hallway,,
9,The Origins of the Bible,,,,,,,English,,,House Hallway,,
10,The Story Books of the Early Hebrews,,,,,,,English,,,House Hallway,,
11,Specimens of Biblical Literature,,,,,,,English,,,House Hallway,,
12,The History & Literature of the Old Testament,,,,,,,English,,,House Hallway,,
13,The Secret Power of Speaking God's Word,,,,,,,English,,,House Hallway,,
14,The Great Hope,,,,,,,English,,,House Hallway,,
15,My Utmost for His Highest,,,,,,,English,,,House Hallway,,
16,God's Promises for Your Every Need,,,,,,,English,,,House Hallway,,
17,52 Hebrew Words,,,,,,,English,,,House Hallway,,
18,How Good is Good Enough?,,,,,,,English,,,House Hallway,,
19,God Will Talk Through You,,,,,,,English,,,House Hallway,,
20,"New Testament: Psalms, Proverbs",,,,,,,English,,,House Hallway,,pocket-size
21,New Testament: Psalms,,,,,,,English,,,House Hallway,,pocket-size
22,Grandes Escritores de America,,,,,,,Spanish,,,House Hallway,,
23,The New Testament in Modern Speech,,,,,,,English,,,House Hallway,,
24,The Messages of the Later Prophets,,,,,,,English,,,House Hallway,,
25,The Messages of Israel's Lawgivers,,,,,,,English,,,House Hallway,,
26,Messages of the Earlier Prophets,,,,,,,English,,,House Hallway,,
27,The Greatest Bible Promises for Healing & Comfort,,,,,The Greatest Bible Promises,,English,,,House Hallway,,
28,The Greatest Bible Promises for Faith & Miracles,,,,,The Greatest Bible Promises,,English,,,House Hallway,,
29,The Greatest Bible Promises for the Anointing of the Holy Spirit,,,,,The Greatest Bible Promises,,English,,,House Hallway,,
30,These Sayings of Mine,,,,,,,English,,,House Hallway,,
31,Intermediate Algebra,Rockwood,Textbook,"Math, Science, Practical Applications",,,,,,,Shalom House,,
32,Your Birthday Sign Through Time,,,,,,,,,,Shalom House,,
33,Cover Letters that Knock 'Em Dead,"Yate, Martin",,,,,,,,,Shalom House,,
34,Get Off Probation,,,,,,,,,,Shalom House,,
35,How to Escape Your Prison,Little,Textbook,"Therapy, Crime, Rehabilitation, Self-Help",,,,,,,Shalom House,,
36,Ninjutsu: The Art of the Invisible Warrior,Hayes,Fitness,"Martial Arts, Japanese History",,,,,,,Shalom House,,
37,"Judo: History, Theory, Practice",Putin,Fitness,"Martial Arts, Books by Politicians & Celebrities",,,,,,,Shalom House,,
38,Getting Stronger,"Pearl, Bill",Fitness,"Body Building, Strength Training",,,,,,,Shalom House,,
39,The Art of Shen Ku,Zeek,Survival Guide,,,,,,,,Shalom House,,
40,Medical Astrology,"Hill, Judith",Occult,"Astrology, Celestial Studies, Wellness, Self-Help",,,,,,,Shalom House,,
41,Solving the Puzzle of Mystery Syndromes,,Wellness,"Dental, Silver (Amalgam) Fillings",,,,,,,Shalom House,,
42,Every Tenant's Legal Guide,Nolo,,,,,,,,,Shalom House,,
43,The Screenwriter's Bible,Trotter,,,,,,,,,Shalom House,,
44,Astrology & Your Vital Force,"Hill, Judith",Occult,"Astrology, Celestial Studies, Wellness, Self-Help",,,,,,,Shalom House,,
45,America's Fascinating Indian Heritage,Reader's Digest,History & Culture,Native Americans,,,,,,,Shalom House,,
46,The Pastor's Stewardship Handbook,Southern Baptist Convention (SBC),Christian Living,"Pastors, Biblical Stewardship, Biblical Leadership, Leadership",2022,,,,,,Shalom House,Received at Geneva Ministerial Alliance luncheon with Pastor Harvey and Clauselle last year,
47,Punto y Aparte: Spanish in Review - Moving Toward Fluency,"Foerster, Sharon",Foreign Language Study,"Spanish Language Learning, Intermediate Spanish",2003,,,Spanish (with English explanations),,,Shalom House,,
48,World Chamber of Commerce Directory,World Chamber of Commerce,Reference,Business / Trade Directories,2010,,,,978-0-943581-23-1,,Shalom House,,